Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Profit_Margin,Order_Year,Order_Month
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136,0.1599999938921975,2016,11
CA-2016-152156,2016-11-08,2016-11-11,CG-12520,FUR-CH-10000454,731.94,3,0.0,219.582,0.2999999959013034,2016,11
CA-2016-138688,2016-06-12,2016-06-16,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8714,0.4699996785227918,2016,6
US-2015-108966,2015-10-11,2015-10-18,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,-0.3999999958227925,2015,10
US-2015-108966,2015-10-11,2015-10-18,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,0.1124999497049581,2015,10
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.1694,0.2899999406467579,2014,6
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656,0.2699996291213886,2014,6
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,0.0999999988976489,2014,6
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,0.3124998311176874,2014,6
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.47,0.2999999738903416,2014,6
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,0.0499999997069483,2014,6
CA-2014-115812,2014-06-09,2014-06-14,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,0.0749999991771118,2014,6
CA-2017-114412,2017-04-15,2017-04-20,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,0.3499997749487044,2017,4
CA-2016-161389,2016-12-05,2016-12-10,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,0.3249999920338453,2016,12
US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,-1.7999997384101527,2015,11
US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,-1.4999941037967617,2015,11
CA-2014-105893,2014-11-11,2014-11-18,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.3176,0.0199999996996455,2014,11
CA-2014-167164,2014-05-13,2014-05-15,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.99,0.1799999675675734,2014,5
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.4824,0.289999661215349,2014,8
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,0.0749999964867905,2014,8
CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,0.3249998569542883,2014,8
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.0596,0.2599998663926688,2016,12
CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.6884,0.2599999569108457,2016,12
US-2017-156909,2017-07-16,2017-07-18,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,-0.0142857122841293,2017,7
CA-2015-106320,2015-09-25,2015-09-30,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.2649,0.2299999977982635,2015,9
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,0.3624996887880419,2016,1
CA-2016-121755,2016-01-16,2016-01-20,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.7741,0.1299999856464629,2016,1
